,title,price,link,imgurl
0,ASUS Vivobook 15 Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and L...,"₹38,990",/asus-vivobook-15-core-i5-11th-gen-1135g7-8-gb-512-gb-ssd-windows-11-home-x515ea-ej522ws-thin-light-laptop/p/itmbfbbf7747aa01?pid=COMGFHNGGWNDVGSY&lid=LSTCOMGFHNGGWNDVGSY5C6JML&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_PfaSkp5zjOXnF5g6D22IbUpzCM-5flcFbR4j4dvKf7x7h1KdHC4GJHDs_wgY7obOMKBnjElGOh5j_xhzHRB5Sw%3D%3D&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/l/t/-original-imagtucmkuwggepy.jpeg?q=70
1,ASUS Vivobook 15 Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X1500EA-EJ311W Thin and L...,"₹31,990",/asus-vivobook-15-core-i3-11th-gen-1115g4-8-gb-256-gb-ssd-windows-11-home-x1500ea-ej311w-thin-light-laptop/p/itmcc87b88b4d7bf?pid=COMGS7M36HZBHH5R&lid=LSTCOMGS7M36HZBHH5RNHNWTN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_PfaSkp5zjOXnF5g6D22IbUpzCM-5flcFbR4j4dvKf7xgGOWS8tF5wVFc5aCZvXraRBGXQsUVQHMWoV1tWREPIw%3D%3D&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/e/z/-original-imagpxgqesgrthks.jpeg?q=70
2,Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Lapt...,"₹26,990",/acer-one-core-i3-11th-gen-1115g4-8-gb-512-gb-ssd-windows-11-home-ao-14-z-8-415-thin-light-laptop/p/itm34f24cbac6f26?pid=COMGPF5CQ7VDWDT4&lid=LSTCOMGPF5CQ7VDWDT4PET780&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGPF5CQ7VDWDT4.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/5/g/-original-imagtke7erkzwzfp.jpeg?q=70
3,HP 2023 Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light Laptop,"₹29,990",/hp-2023-athlon-dual-core-3050u-8-gb-512-gb-ssd-windows-11-home-15s-ey1509au-thin-light-laptop/p/itm930fe4c90a2f8?pid=COMGZVGHZXXRMWMU&lid=LSTCOMGZVGHZXXRMWMUKR6CBK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGZVGHZXXRMWMU.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
4,HP 2023 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light Lapto...,"₹33,490",/hp-2023-ryzen-3-dual-core-3250u-8-gb-512-gb-ssd-windows-11-home-15s-eq1580au-thin-light-laptop/p/itm286c2761c52f0?pid=COMGZYRYCB3JVMJS&lid=LSTCOMGZYRYCB3JVMJSLOJRY5&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGZYRYCB3JVMJS.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/n/j/-original-imaguegfkhrkykxb.jpeg?q=70
5,Infinix X3 Slim Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) XL422 Thin and Light ...,"₹30,990",/infinix-x3-slim-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-xl422-thin-light-laptop/p/itm5d71b3d009215?pid=COMGRSWXMRPBWGM2&lid=LSTCOMGRSWXMRPBWGM2QNHZUY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGRSWXMRPBWGM2.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/f/p/xl422-thin-and-light-laptop-infinix-original-imags7v8b5mcfbgx.jpeg?q=70
6,DELL Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light ...,"₹36,790",/dell-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm06ea674a3bd5b?pid=COMGJ75HCCFJS8AE&lid=LSTCOMGJ75HCCFJS8AELVN77K&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGJ75HCCFJS8AE.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/o/s/-original-imaghzah9mjvukjz.jpeg?q=70
7,ASUS Zenbook 14X OLED Ryzen 5 Hexa Core 5600HS - (16 GB/512 GB SSD/Windows 11 Home) UM5401QA-KM541WS T...,"₹57,990",/asus-zenbook-14x-oled-ryzen-5-hexa-core-5600hs-16-gb-512-gb-ssd-windows-11-home-um5401qa-km541ws-thin-light-laptop/p/itm05033c9b1d455?pid=COMGZKHQHERZG2RP&lid=LSTCOMGZKHQHERZG2RPU37D6Q&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=en_PfaSkp5zjOXnF5g6D22IbUpzCM-5flcFbR4j4dvKf7zs7b29UD7sZJusl2iM1tqisKcWA10Pvp-nyTmLCgtOlg%3D%3D&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/s/u/-original-imagqdrxypn25zdt.jpeg?q=70
8,DELL Inspiron Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin a...,"₹54,890",/dell-inspiron-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-new-15-laptop-thin-light/p/itm23d84e15561c4?pid=COMGJ75HN66KHZYB&lid=LSTCOMGJ75HN66KHZYBNRNAFV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGJ75HN66KHZYB.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/h/w/-original-imaghzahgukpkyfu.jpeg?q=70
9,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15IAU7 Thin and...,"₹35,990",/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-256-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itm9fcf3daf70e1b?pid=COMGSVFEHCEWXFBQ&lid=LSTCOMGSVFEHCEWXFBQHLPEDL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGSVFEHCEWXFBQ.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/f/v/-original-imaguyhzwj4tqwqu.jpeg?q=70
